학번,중간퀴즈(18),중간서술(12),중간(30점),기말퀴즈(10),기말서술(20),60점 만점,출석(20),레포트(10),퀴즈(10),최종
202121196,10,7,17,4,17,38,20,10,10,78
202121197,11,10,21,4,13,38,13,3,8,62
202115779,13,9,22,4,12,38,18,10,10,71
202115532,7,3,10,4,8,22,20,9,9,60
202120937,13,8,21,4,5,30,20,10,10,69
201821994,12,5,17,6,16,39,20,10,10,79
202115782,14,7,21,6,12,39,20,10,10,79
202121204,13,6,19,2,10,31,20,10,10,71
202115535,12,9,21,4,11,36,20,10,10,76
202115784,15,5,20,2,2,24,20,8,10,62
202121836,14,3,17,8,6,31,20,10,10,71
202020772,14,5,19,2,13,34,20,10,10,74
202121078,7,미응시,F,4,10,14,F,0,7,F
202115536,11,2,13,4,10,27,20,10,10,67
202115786,16,4,20,2,8,30,20,10,10,70
202121212,15,11,26,4,9,39,20,10,10,79
202115789,18,11,29,8,11,48,20,10,10,88
202115791,14,7,21,10,6,37,20,10,10,77
202115539,8,7,15,6,12,33,19,8,10,70
202119361,7,6,13,2,0,15,19,7,10,46
202115540,15,7,22,10,15,47,20,10,10,87
202115542,10,7,17,8,6,31,20,10,10,71
202121220,16,6,22,6,20,48,20,10,10,88
202115794,12,4,16,2,5,23,20,9,10,62
202115795,10,7,17,0,9,26,20,10,10,66
202015963,9,5,14,4,8,26,13,2,7,43
202115547,11,7,18,2,6,26,20,10,10,66
202121225,12,8,20,10,13,43,18,10,10,81
202115549,15,10,25,6,3,34,20,10,10,74
202115805,10,8,18,2,10,30,20,10,10,70
202121226,10,12,22,10,15,47,18,9,9,83
202115809,11,5,16,2,11,29,20,9,10,68
202115553,7,1,8,0,16,24,15,8,9,56
202115554,12,7,19,6,10,35,20,10,10,75
202120947,15,8,23,6,10,39,20,10,10,79
202115556,9,7,16,4,7,27,20,10,10,67
202120950,13,4,17,4,8,29,20,10,10,67
202115813,16,10,26,4,17,47,20,10,10,87
202120951,미응시,미응시,미응시,미응시,미응시,미응시,F,2,8,F
202115558,6,6,12,4,3,19,20,9,10,58
202115820,16,9,25,4,10,39,20,10,10,79
202115821,15,7,22,6,10,38,20,10,9,77
202121238,8,6,14,0,2,16,18,10,10,54
202115559,11,3,14,4,2,20,18,6,9,53
202120957,10,7,17,6,8,31,20,10,10,71
202115560,10,4,14,4,9,27,20,10,10,67
202115561,13,7,20,2,6,28,20,8,9,65
201922037,16,5,21,0,14,35,20,10,10,75
202115562,17,11,28,4,14,46,20,10,10,86
202115566,13,9,22,4,14,40,20,7,10,77
202121244,15,11,26,2,7,35,19,10,10,74
202115826,16,10,26,4,17,47,20,10,10,87
202121245,12,1,13,2,0,15,18,8,10,51
202115829,18,9,27,8,14,49,20,10,10,89
202115569,14,7,21,0,7,28,20,10,10,68
